Name,Site Characteristics,Plant Traits,Special Considerations,Growing Information
Calendula,Sunlight: full sun part shade This plant prefers cool weather and performs best in early summer and late fall. Soil conditions: requires well-drained soil Special locations: outdoor containers,Lifecycle: annual Ease-of-care: easy Height: 1 to 2 feet Spread: 1 to 1.5 feet Bloom time: late spring early summer mid-summer late summer early fall mid-fall Flower color: orange yellow white Foliage color: medium green Foliage texture: medium Shape: spreading mass Shape in flower: same as above,Tolerates: frost Special characteristics: deer resistant aggressive - Readily self-seeds. non-invasive not native to North America - Southern Europe fragrant Attracts: butterflies Special uses: cut flowers edible landscaping - Often grown as a kitchen herb  calendula's spicy leaves and flowers serve as flavorings for soups  salads and garnishes. The flowers can also be used as a yellow pigment in place of saffron. Dry flowers or leaves for longer storage.,How to plant: Propagate by seed - Sow seeds outdoors a few weeks before the last frost in the spring  or start them indoors 6 to 8 weeks before the last frost. Avoid warm propagation temperatures  as they will produce weak plants. Keep the seeds covered with soil  as light inhibits germination. Start an additional set of seedlings in the summer for optimal fall flowering.Seeds self-sow readily. Germination temperature: 55 F to 60 F Days to emergence: 7 to 14 Maintenance and care: Deadhead spent flowers and pinch back to keep bushy. If flowering performance dwindles in mid-summer  cut the plants back severely.Flower production will be particularly increased by fertilizers high in phosphorus. Petals of single flowered varieties have better flavor. More growing information: How to Grow Annuals Pests: AphidsSnailsSlugscabbage looper Diseases: Powdery mildew
California Poppy,Sunlight: full sun Soil conditions: tolerates droughty soil requires well-drained soil requires high fertility Thrives in dry  sandy areas  and will stand up well to heat. Special locations: outdoor containers rock gardens xeriscapes,Lifecycle: annual Ease-of-care: easy Height: 0.5 to 1 feet Spread: 0.5 to 0.8 feet Bloom time: early summer mid-summer late summer early fall mid-fall Flower color: red orange yellow white pink Flowers close at night  when it is overcast  and when it is raining. Foliage color: gray-green Foliage texture: fine Shape: spreading mass Shape in flower: same as above,Tolerates: heat Special characteristics: deer resistant non-aggressive non-invasive native to North America - North America Special uses: cut flowers direct-seeding wildflowers,How to plant: Propagate by seed - This plant does not transplant well and should be grown from seeds scattered outdoors in the spring when the soil becomes workable. Scatter the seeds where the plants are desired for summer bloom. This plant may seem like it is a perennial  coming back in the same place every year due to self-seeding. However  self-seeding may not produce plants identical to the initial planted variety. Germination temperature: 55 F to 60 F Days to emergence: 7 to 14 Maintenance and care: Deadhead to maximize blooming  but leave some spent flowers on the plants for self-seeding purposes. More growing information: How to Grow Annuals
Canary Creeper,Sunlight: full sun Soil conditions: tolerates droughty soil requires well-drained soil tolerates low fertility Prefers poor  sandy soil. Overly rich soil deters flowering. Special locations: outdoor containers,Lifecycle: annual Ease-of-care: easy Height: 8 to 12 feet If grown supported by a trellis. Spread: 8 to 12 feet If allowed to spread over the ground. Bloom time: early summer mid-summer late summer early fall mid-fall Flower color: yellow Foliage color: medium green Foliage texture: medium Leaves are lobed and hand-like. Shape: climbing / vine Shape in flower: same as above,Special characteristics: non-aggressive non-invasive not native to North America - Native to Mexico and Central and South America.,How to plant: Propagate by seed - Plant seeds indoors 4 to 6 weeks before the last frost date. Direct seed outside after danger of frost is passed. Germination temperature: 55 F to 65 F Days to emergence: 7 to 10 Maintenance and care: Train onto supports or plant where other plants can support it. More growing information: How to Grow Annuals Pests: AphidsSpider mitesTarnished plant bug Diseases: Bacterial leaf spotBacterial wiltFungal leaf spot
Candytuft - Evergreen,Sunlight: full sun May tolerate very light shade  but needs full sun for best flowering. Soil conditions: requires well-drained soil Prefers slightly alkaline soil but will grow quite well in almost any soil. Hardiness zones: 5 to 9 Special locations: rock gardens,Lifecycle: perennial Ease-of-care: easy Height: 0.5 to 1 feet Spread: 1 to 2 feet Bloom time: mid-spring Flower color: white Flowers may appear pinkish when nights are cool. Foliage color: dark green Some cultivars produce darker foliage than others. Foliage texture: medium Shape: low and trailing Shape in flower: same as above Plants are woody at the base. Cut back if they get leggy to restore shape.,Tolerates: heat Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Native to Southern Europe evergreen,How to plant: Propagate by seed  cuttings  division or separation - Cuttings taken during midsummer root easily. Maintenance and care: To reduce sunscorch during the winter  cover foliage with evergreen branches. Cut back woody branches every other year to avoid legginess. More growing information: How to Grow Perennials Diseases: Club root
Canna Lily,Sunlight: full sun Soil conditions: requires well-drained soil Prefer fertile  moist but well-drained soil.,Lifecycle: annual Tropical perennial (hardy in Zone 8) grown as an annual. Ease-of-care: moderately difficult Height: 3 to 8 feet Some dwarfs grow just 2 feet tall. Spread: 1.5 to 2.5 feet Bloom time: mid-summer late summer early fall Flower color: red orange yellow pink Foliage color: light green medium green dark green purple gray-green blue-green variegated Leaves may be any shade of green  or flushed with purple  bronze or brown  or striped and marked with yellow  cream  orange or red. Foliage texture: coarse Leaves are large and bold. Shape: upright Shape in flower: flower stalks with upright spikes Blooms borne in a raceme at the top of the plant stem.,Special characteristics: non-aggressive non-invasive not native to North America - Product of horticultural selection. Parents native to tropical areas of Asia and the Americas.,"How to plant: Propagate by division or separation - Divide the rhizomes when planting after danger of frost has passed in spring. Each segment should have a strong  healthy ""eye.""For earlier flowering  plant the rhizomes indoors in trays of peat moss in early spring. When the plants sprout  move them to individual pots  keeping them indoors in full sun until all frost danger has passed. Plant them out in the garden where desired. Maintenance and care: Keep watered but not soggy. Plants fo not usually require staking. Keep deadheaded for best blooms. Cut the plants back after the first large fall frost  dig them  and bring them indoors. Store them with their soil in a well-ventilated area for the winter. In dry storage  place the soil covered rhizomes in peat moss for overwintering. More growing information: How to Grow Annuals More growing information: How to Grow Bulbs Pests: Slugs and snailsSpider mites Diseases: RustFungal leaf spotBacterial blightBean yellow mosaic virusTomato spotted wilt virus"
Canterbury Bells,Sunlight: full sun part shade Soil conditions: requires well-drained soil Canterbury Bells prefer moist soil and cool weather with low humidity. Hardiness zones: 5 to 8,Lifecycle: biennial Ease-of-care: moderately difficult Height: 1.5 to 3 feet Spread: 0.75 to 1.25 feet Bloom time: late spring early summer mid-summer Flower color: blue violet white pink Foliage color: medium green Foliage texture: medium Shape: upright Shape in flower: flower stalks with sprays of flowers The flowers are borne on long racemes.,Special characteristics: non-aggressive non-invasive not native to North America - Europe Special uses: cut flowers,How to plant: Propagate by seed - Start seeds outdoors in late spring or early summer in a nursery area of the garden. Thin and grow for the summer in the holding area  overwinter  and transplant into the flower garden the following spring. Days to emergence: 14 to 21 Maintenance and care: May require staking. The first year  grow this biennial in a nursery bed and overwinter covered with a thick mulch layer. Transplant into the garden the next spring. Discard after the flowering season. To maintain an annual supply of plants  start new seeds in the nursery bed each year. More growing information: How to Grow Perennials
Cardinal flower,Sunlight: part shade Tolerates full sun with enough moisture  especially where summers are cooler. Soil conditions: tolerates damp soil Tolerates poor drainage Hardiness zones: 2 to 9 May be only marginally hardy in Zone 2.,Lifecycle: perennial Tends to be short-lived. Ease-of-care: moderately difficult Height: 3 to 4 feet Spread: 1 to 2 feet Bloom time: mid-summer late summer early fall Flower color: red white pink Species bears spikes of brilliant  scarlet-red flowers. Some varieties are pink to white. Foliage color: dark green Sometimes bronze-tinged. Foliage texture: medium Shape: upright Shape in flower: flower stalks with upright spikes,Special characteristics: non-aggressive non-invasive native to North America - Wet places in eastern North America. Attracts: beneficial insects butterflies,How to plant: Propagate by seed  cuttings  division or separation - Sow seeds as soon as they are ripe. Self-sows readily. Some varieties are hybrids and will not breed true.Make stem cuttings in midsummer.In fall  divide new rosettes that form to the side of parent plants. Maintenance and care: Deadhead to improve appearance and encourage rebloom. Because plants are short-lived some reseeding is desirable.Pinch back if you want bushier  more compact plants.Keep soil moist during summer dry spells. Afternoon shade is beneficial if soil is dry.Do not cut plants back in fall. Mulch lightly. While moisture-loving during the growing season  excess moisture can kill plants overwinter.Divide plants every 2 or 3 years. Allow plants to self-seed to replace short-lived plants. More growing information: How to Grow Perennials Pests: Slugs and snails Diseases: RustSmutLeaf spots
Castor Bean,Sunlight: full sun Soil conditions: requires well-drained soil Performs best in rich soil that is moist but well-drained.,Lifecycle: annual Ease-of-care: easy Height: 4 to 10 feet Spread: 2 to 5 feet Bloom time: mid-summer late summer Flower color: inconspicuous Foliage color: medium green dark green other Depends on variety. Colors include purple-red  red-brown  and green. Foliage texture: coarse Leaves are 1 to 1.5 feet wide and have 5 to 12 lobes. Shape: upright Shape in flower: same as above,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Native to Africa. bears ornamental fruit - Burred seed campsules are red and showy. Seeds are very poisonous. Special uses: direct-seeding,How to plant: Propagate by seed - Start seeds outdoors after spring frost danger has passed  or indoors 6 to 8 weeks before the last spring frost. Germination temperature: 70 F to 75 F Days to emergence: 14 to 21 Maintenance and care: Plants may need staking. Fertilize if soil is infertile. More growing information: How to Grow Annuals
Cathedral Bells,Sunlight: full sun Soil conditions: requires well-drained soil Requires soil that is kept evenly moist but not soggy.,Lifecycle: annual Is an evergreen perennial in its native frost-free range. Ease-of-care: easy Height: 10 to 25 feet When supported by trellis. Spread: 10 to 25 feet When allowed to spread over the ground. Bloom time: early summer mid-summer late summer early fall Flower color: green violet white Flowers are pale green when they first open  and turn purple or white as they mature. Foliage color: medium green dark green Foliage texture: medium Shape: climbing / vine Shape in flower: same as above,Special characteristics: non-aggressive non-invasive not native to North America - Mexico and South America,How to plant: Propagate by seed - Start seeds indoors 6 to 8 weeks before the last spring frost. The seeds should be sown with their longest edge pointing down. Can also be direct seeded outside  but flowering will be delayed. Germination temperature: 70 F to 75 F Days to emergence: 10 to 24 Maintenance and care: Train on trellis or other support. Keep moist but not soggy. Pinch back to keep bushy if desired. More growing information: How to Grow Annuals
Catmint,Sunlight: full sun part shade Thrives in full sun but can grow in partial shade. Soil conditions: tolerates droughty soil Hardiness zones: 3 to 8 Special locations: rock gardens - Good edging plant or small-scale ground cover in rock gardens.,Lifecycle: perennial Ease-of-care: easy Height: 1 to 2 feet Most varieties grow 1 to 2 feet tall. 'White Wonder' and 'Snowflake' grow only 1 foot tall. 'Green Hills Giant' reaches 3 feet tall. Spread: 1.5 to 3 feet Bloom time: early summer mid-summer late summer early fall Flower color: blue violet white Flowers are small  abundant soft lavender. Some varieties have white or blue flowers. Foliage color: gray-green Foliage texture: medium Shape: cushion  mound or clump spreading mass upright Variable habit ranging from upright  to clumping to matlike and bushy.,Special characteristics: deer resistant non-aggressive non-invasive not native to North America - Hybrid product of horticultural selection. Parents from Turkey  Caucaus  Middle East. fragrant Attracts: beneficial insects Special uses:,How to plant: Propagate by cuttings  layering  division or separation - Seed of this hybrid is sterile  so it will not self-seed and must be propagated vegetatively.Divide plants in spring or fall. Make softwood cuttings in early summer. Maintenance and care: Plants seldom require division.Deadheading not necessary to prevent spreading  as seeds are sterile. But may encourage continuous flowering through the season.Cutting plants back by half to two-thirds encourages fresh foliage growth. More growing information: How to Grow Perennials
Celosia - Crested,Sunlight: full sun part shade Soil conditions: requires well-drained soil requires high fertility Needs consistent moisture. Keep soil moist but not soggy. Special locations: outdoor containers,Lifecycle: annual Ease-of-care: moderately difficult Height: 0.5 to 3 feet Spread: 0.5 to 1 feet Bloom time: mid-summer late summer early fall mid-fall Flower color: red orange yellow violet white pink Foliage color: medium green other Foliage texture: medium Shape: upright Shape in flower: flower stalks with upright spikes Flowerheads are dense and gathered  resembling rooster combs.,Special characteristics: non-aggressive non-invasive not native to North America Special uses: cut flowers dried flowers,How to plant: Propagate by seed - Start seeds indoors 4 weeks before the last frost. Cover them with soil  since light inhibits their germination. Can also be sown outdoors after the last frost. Pre-started plants are often available at retail outlets. Germination temperature: 65 F to 70 F Days to emergence: 14 to 21 Maintenance and care: May need staking. Requires regular watering. Plants purchased in cell-packs with crowded roots may develop slowly or may not develop at all if the crowded roots stop growing. More growing information: How to Grow Annuals Pests: Spider mites Diseases: OedemaParasitic nematodesPowdery mildewFungal leaf spot
Celosia - Plumed,Sunlight: full sun part shade Soil conditions: requires well-drained soil Needs consistent moisture. Keep soil moist but not soggy. Special locations: outdoor containers,Lifecycle: annual Ease-of-care: easy Height: 0.5 to 3 feet Spread: 0.5 to 1 feet Bloom time: mid-summer late summer early fall mid-fall Flower color: red orange yellow violet white pink Foliage color: medium green other Foliage texture: medium Shape: upright Shape in flower: flower stalks with upright spikes Flowerheads are feathery and plumelike.,Tolerates: frost Special characteristics: non-aggressive non-invasive not native to North America Special uses: cut flowers dried flowers,How to plant: Propagate by seed - Start seeds indoors 4 weeks before the last frost. Cover them with soil  since light inhibits their germination. Can also be sown outdoors after the last frost is reached. Pre-started plants are often available at retail outlets. Germination temperature: 65 F to 70 F Days to emergence: 14 to 21 Maintenance and care: May need staking. Requires regular watering. Plants purchased in cell-packs with crowded roots may develop slowly or may not develop at all if the crowded roots stop growing. More growing information: How to Grow Annuals Pests: Spider mites Diseases: OedemaParasitic nematodesPowdery mildewFungal leaf spot
Celosia - Wheat,Sunlight: full sun Soil conditions: requires well-drained soil Needs consistent moisture. Keep soil moist but not soggy.,Lifecycle: annual Ease-of-care: moderately difficult Height: 2 to 2.5 feet Spread: 1 to 2 feet Bloom time: mid-summer late summer early fall mid-fall Flower color: violet pink Flowers may have a silvery sheen to them. Foliage color: medium green dark green Foliage texture: medium Shape: upright Shape in flower: same as above,Tolerates: frost Special characteristics: non-aggressive non-invasive not native to North America Special uses: cut flowers dried flowers,How to plant: Propagate by seed - Start seeds indoors 8 to 10 weeks before the last frost. Cover them with soil  since light inhibits their germination. Can also be sown outdoors after the last frost. Germination temperature: 65 F to 70 F Days to emergence: 14 to 21 Maintenance and care: Pinch back small plants to insure bushy fullness. May require staking. More growing information: How to Grow Annuals Pests: Parasitic nematodes Diseases: Wilt and rot in poor drainageOedemaPowdery mildew
Checkered Lily,Sunlight: part shade Soil conditions: requires damp soil Prefers moist  rich soil. Do not allow soil to dry out  even when dormant. Hardiness zones: 3 to 8,Lifecycle: perennial Ease-of-care: easy Height: 0.75 to 1 feet Spread: 0.25 to 0.5 feet Bloom time: mid-spring Flower color: violet white other Blooms are usually deep violet/maroon  with pale violet spotting in a checkerboard pattern. There are also white forms  with green markings. Foliage color: medium green Foliage texture: medium Shape: upright grass-like Shape in flower: flower stalks with flowers as cups flower stalks with flowers hanging downward Blooms hang from erect flower stems rising above the foliage and have a boxy cup-like shape.,Special characteristics: deer resistant aggressive - Spreads easily by seed. Best grown in naturalized settings where it can freely roam. non-invasive not native to North America - Native to Europe,How to plant: Propagate by seed  division or separation - Divide mature bulblets from the parent plant and replant in moist soil. Collect fresh seeds and sow out in a tray. Transplant when they reach a mangeable size. Maintenance and care: Do not allow soil to dry out  even when plants are dormant. More growing information: How to Grow Bulbs
Chives,Sunlight: full sun part shade Soil conditions: tolerates acid soil tolerates droughty soil tolerates damp soil tolerates low fertility While chives will tolerate a wide range of soil conditions  they prefer slightly acid soil (pH 6.2 to 6.8) with moderate fertility and high organic matter. Hardiness zones: 3 to 9 Chinese and garlic chives (Allium tuberosum) are slightly less hardy  only to Zone 4 without extra winter protection. Special locations: outdoor containers rock gardens,"Lifecycle: perennial Ease-of-care: easy Height: 0.5 to 1 feet Chinese and garlic chives (Allium tuberosum) grow up to 2 feet tall. Bloom time: late spring early summer late summer early fall Flower color: red violet white pink The common garden chive has pinkish lavender flowers. The cultivar ‘Forescate’ has rose red flowers. 'Corsica"" and 'albiflorum' have white flowers. Chinese and garlic chives (Allium tuberosum) have white flowers. Foliage color: medium green Foliage texture: fine Shape: cushion  mound or clump upright grass-like Spreading clump of upright  grass-like leaves.",Special characteristics: deer resistant not native to North America - Mediterranean origin evergreen - In cold areas  dies back to the ground. Special uses: cut flowers edible flowers edible landscaping,How to plant: Propagate by seed  division or separation - Direct seed  divide or transplant in spring or fall. Germination temperature: 45 F to 95 F Days to emergence: 7 to 21 Seed can be saved 3 years. Maintenance and care: In spring or fall  direct seed onto well-prepared seedbed (covering very lightly)  or transplant established plants. (If starting from seed  plants probably won’t be large enough to harvest for at least a year.)Regular cutting helps keep plants vigorous and healthy and encourages spreading. Keep flowers picked to discourage dormancy in warm weather.No fertilizer is needed if planted in reasonably fertile soil. Plants harvested frequently benefit from nitrogen top-dressing.Divide and replant clump in fresh soil every three to five years. More growing information: How to Grow Perennials Pests: Not usually harmed. Diseases: Not usually infected.
Clary Sage - Annual,Sunlight: full sun part shade Soil conditions: requires well-drained soil Prefers moist but well-drained soil. Special locations: outdoor containers,"Lifecycle: annual Ease-of-care: moderately difficult Height: 1.5 to 2 feet Spread: 0.5 to 1 feet Bloom time: early summer mid-summer late summer early fall mid-fall Flower is insignificant. Color comes from floral bracts  which provide a noticeable texture variation. Flower color: violet white pink ""Flowers"" come in pastel shades of pink  white and purple  and all have darker colored veins marking their surfaces. Foliage color: medium green dark green Foliage texture: medium Shape: upright Shape in flower: flower stalks with upright spikes Flower spikes are tall and rise above the foliage.",Special characteristics: deer resistant non-aggressive - Self-seeds some  but seldom a problem. non-invasive not native to North America - Native to Southern Europe. fragrant - Foliage has a strong  pleasant fragrance. Special uses: cut flowers dried flowers - Cut and dry flower spikes in well-ventilated areas for use in arrangements.,How to plant: Propagate by seed - Sow seeds indoors 10 to 12 weeks before the last spring frost. Germination temperature: 65 F to 70 F Days to emergence: 14 Maintenance and care: Remove dead flowers to prevent self-sowing if desired. More growing information: How to Grow Annuals
Clary Sage,Sunlight: full sun Soil conditions: requires well-drained soil Wet sites can cause rot. Easily killed by excessively wet winters.,Lifecycle: biennial  perennial Produces a basal rosette of leaves the first year and flower the second year. In some areas plants will winter over and flower another year. Ease-of-care: easy Height: 2.5 to 3.5 feet Spread: 1.5 to 2.5 feet Bloom time: late spring early summer mid-summer Flower color: violet white The pink to purple floral bracts remain showy after the white to mauve corollas fade. Foliage color: medium green Mostly green but varies toward gray. Foliage texture: coarse Shape: spreading mass upright loose and formless Shape in flower: flower stalks with upright spikes Large whorls of 4 to 6 flowers in upright panicles above the foliage.,Special characteristics: deer resistant non-aggressive - Plants may self-sow. non-invasive not native to North America - Southern Europe,How to plant: Propagate by seed - Plants are biennial  so sow seed in successive years to have plants flowering every year. Plants readily self-seed  or you can sow seed in spring or fall. Fall-planted seed overwinters and emerges in spring. Seed can be saved 3 years. Maintenance and care: Plants grown from seed can reach their mature height of 3 to 4 feet the first season. More growing information: How to Grow Perennials
Cleome,Sunlight: full sun part shade Soil conditions: tolerates droughty soil tolerates low fertility Special locations: outdoor containers xeriscapes,Lifecycle: annual Ease-of-care: easy Height: 3 to 5 feet Spread: 2 to 4 feet Bloom time: mid-summer late summer early fall Flower color: yellow violet white pink Foliage color: medium green Foliage texture: fine Shape: upright Shape in flower: same as above,Tolerates: heat Special characteristics: deer resistant aggressive - Self-seeds readily. non-invasive not native to North America - Caribbean fragrant - Has a strong fragrance  which some people find offensive. Plant away from living areas. Aroma may be too strong to use as a cut flower in closed rooms. Attracts: beneficial insects butterflies hummingbirds Special uses: cut flowers direct-seeding,How to plant: Propagate by seed - Plants seeds indoors 4 to 6 weeks before the last frost  or outdoors after danger of frost is passed. Self-seeds readily. Germination temperature: 70 F to 75 F Days to emergence: 7 to 14 Maintenance and care: May require staking. Deadhead to prevent self-seeding. It tends to get leggy on its lower stems  and other plants should be planted near its base to hide this. The stems are often covered with spines.Plants purchased in cell-packs with crowded roots may develop slowly or may not grow at all if the crowded roots stop growing. More growing information: How to Grow Annuals
Coleus,Sunlight: part shade Amount of sun can influence foliage color. Soil conditions: requires well-drained soil Prefers moist but well-drained soil  high in organic matter. Special locations: outdoor containers indoors as a houseplant - Make cuttings or dig plants before frost to overwinter inside. Needs a warm  bright location  and consistent moisture.,Lifecycle: annual Ease-of-care: easy Height: 0.5 to 3 feet Spread: 0.5 to 3 feet Bloom time: mid-summer late summer Flower color: inconspicuous Foliage color: variegated Foliage texture: coarse Shape: upright Shape in flower: inconspicuous flower,Special characteristics: non-aggressive non-invasive not native to North America - Native to Java.,How to plant: Propagate by seed  cuttings - Start from seeds indoors 6 to 8 weeks before the last spring frost. Do not cover  as the seeds need light to germinate. Easily grown from cuttings  which can be taken at any time of the year  but best in late summer for winter indoor growth  and late winter/early spring from indoor plants for outdoor summer growth. Use young  non-woody stem cuttings  which can be rooted either in potting mix or in water. Despite general variety uniformity  coleus seeds do not produce identical plants. If uniform plant type/color is desired  start plants from cuttings. Germination temperature: 70 F to 75 F Days to emergence: 7 to 14 Maintenance and care: Pinch off flowers as soon as they appear to keep plant compact and bushy. Regularly pinch back tips to keep bushy. Keep moist but not wet. Expect Coleus to be one of the first plants killed back by fall frosts. More growing information: How to Grow Annuals Pests: MealybugsScaleAphids Diseases: Leaf spot
Columbine - Canada,Sunlight: full sun part shade Dislikes intense sunlight. Keep plants growing in sun moist. Soil conditions: requires well-drained soil Prefers rich  moist but well-drained soil. Hardiness zones: 3 to 8,Lifecycle: perennial Tends to be short-lived but reseeds readily. Ease-of-care: easy Height: 2 to 3 feet Spread: 0.5 to 1 feet Bloom time: mid-spring late spring early summer Flower color: red yellow Bi-colored with yellow petals and red spurs. Foliage color: medium green Foliage texture: medium Shape: cushion  mound or clump Shape in flower: flower stalks with upright spikes flower stalks with flowers hanging downward Blooms dangle from erect  branching flower stems.,Special characteristics: deer resistant aggressive - Self-seeds prolifically non-invasive native to North America - Native from Eastern Canada to southern and southwestern USA Special uses: cut flowers - Cut when just open  soak almost entirely in warm water for 1 hour. dried flowers - The seed pods are attractive in dried arrangments. wildflowers naturalistic garden,How to plant: Propagate by seed  division or separation - Collect seed from dried seed pods when they turn black and scatter where desired  or allow the plants to self-seed freely. Can be divided in the spring  but the plants dislike disturbance and may take time to re-establish. Maintenance and care: Remove faded blooms to prevent self-seeding if not desired. If foliage fades after flowering  cut the plants back to the ground. Grow near other garden plants that will fill in potentially empty space when plants fade after blooming. More growing information: How to Grow Perennials Pests: Leaf miners (Canada columbine is less susceptible than other species.)Spider mitesStem borersAphidsCaterpillers Diseases: Powdery mildewRustAscochyta leaf spotSeptoria leaf spotSouthern Blight
Columbine - Hybrid,Sunlight: full sun part shade Provide constant moisture in full sun without waterlogging the soil. Soil conditions: requires well-drained soil Prefers rich  moist but well-drained soil. Hardiness zones: 3 to 8,Lifecycle: perennial Ease-of-care: easy Height: 1.5 to 3 feet Spread: 1 to 1.5 feet Bloom time: mid-spring late spring early summer Flower color: red yellow blue violet white pink Varies with variety. Foliage color: medium green gray-green blue-green Foliage texture: medium Shape: cushion  mound or clump Shape in flower: flower stalks with upright spikes flower stalks with flowers hanging downward Upright blooms borne on erect  branching stems.,Special characteristics: deer resistant aggressive - Self-seeds if not deadheaded. non-invasive not native to North America - Product of horticultural selection. Special uses: cut flowers - Cut when flowers just open. Soak in warm water for 1 hour  then arrange. dried flowers - The dried seed pods are attractive in arrangments.,How to plant: Propagate by seed  division or separation - Grow only from purchased  labelled seed  as most hybrids do not come true from home-raised seed. Divide carefully in spring. Plants don't like to be disturbed and may take a long time to recover. Maintenance and care: Deadhead to prolong bloom and prevent self-seeding. (Hybrids do not breed true from seed.)Cut to ground if foliage becomes unsightly or infected by leafminers. New foliage will regrow if conditions are favorable. Keep soil moist during summer dry spells.Plant near other garden plants that will mask plants after blooming has finished. Taller varieties may require staking. More growing information: How to Grow Perennials Pests: Leaf miners (More susceptible than Canada columbine.)Stem borersCaterpillersAphids Diseases: Powdery mildewRustSeptoria leaf spotAsochyta leaf spotSouthern blight
Comfrey,Sunlight: full sun part shade Prefers shade in warm areas. Hardiness zones: 3 to 9 Some of the related species or ornamental comfreys are only hardy to Zone 5.,Lifecycle: perennial Ease-of-care: easy Height: 1 to 5 feet Spread: 2 to 6 feet Bloom time: late spring early summer Flower color: yellow violet white pink Ranges from purple-violet to pink  and creamy yellow to white. Foliage color: dark green Foliage texture: coarse Shape: spreading mass Shape in flower: same as above,Special characteristics: aggressive - Freely self-sows. Deep root system is difficult to eradicate. Even small fragments produce new plants. non-invasive not native to North America - Native to Europe  naturalized in North America.,How to plant: Propagate by seed  division or separation - Plants are aggressive and readily self-sow. Plant seeds where you want them to grow in spring or fall  or sow in a cold frame and pot seedlings to be grown over the first winter inside.Divide any time (spring is best) using a spade to chop off about 3 inches of root just below soil level. Plant divisions directly or pot them and overwinter before planting. Maintenance and care: Plants are very aggressive. Plant where they can spread without competing with other plants  or rein them in with a physical barrier.Remove flowers to keep foliage looking nice. Deadhead plants to keep from spreading by seed. More growing information: How to Grow Perennials Diseases: Leaf spot
Coreopsis,Sunlight: full sun Soil conditions: tolerates droughty soil requires well-drained soil tolerates low fertility Special locations: xeriscapes,Lifecycle: annual Ease-of-care: moderately difficult Height: 1 to 3 feet Spread: 0.5 to 1 feet Bloom time: late summer early fall mid-fall Flower color: red orange yellow other Flowers are mottled with maroon or brown. Foliage color: dark green Foliage texture: medium Shape: upright Shape in flower: same as above,Tolerates: frost heat Special characteristics: aggressive non-invasive native to North America - North and Central America Attracts: butterflies Special uses: cut flowers direct-seeding,How to plant: Propagate by seed  cuttings - Sow seeds outdoors in early spring or start indoors 6 to 8 weeks before the last spring frost. Do not cover the seeds  as light aids in germination. Take cuttings from the plant in the spring  or from stem tips during the summer. It may be persistent in the garden as it prolifically self-sows. Germination temperature: 55 F to 70 F Days to emergence: 21 to 28 Maintenance and care: Plants will bloom well when they are crowded. Deadhead or cut back by 1/3 to keep in flower. Discard spent flowerheads to avoid self-sowing. Sow additional seeds every few weeks for succession of bloom. This plant self sows and may be weedy. May require staking. More growing information: How to Grow Annuals
Coreopsis - Lanceleaf,Sunlight: full sun part shade Prefers full sun. Soil conditions: tolerates droughty soil requires well-drained soil requires high fertility Hardiness zones: 4 to 9,Lifecycle: perennial Ease-of-care: moderately difficult Height: 1 to 2.5 feet Some dwarf varieties stay less than 1 foot tall. Spread: 1 to 1.5 feet Bloom time: early summer mid-summer late summer Flower color: orange yellow Foliage color: medium green Most of the foliage borne near the base of the plant. Foliage texture: medium Shape: cushion  mound or clump upright Shape in flower: flower stalks with upright spikes flower stalks with flowers with petal radiating outward Solitary  daisy-like blooms borne on erect stems rising above the foliage.,Special characteristics: deer resistant non-aggressive non-invasive native to North America - Central and southern U.S. Attracts: butterflies Special uses: cut flowers wildflowers naturalistic garden,How to plant: Propagate by seed  cuttings  division or separation - Divide every 2 to 3 years in early spring to promote cold hardiness and maintain plant vigor. Undivided plants are not long-lived.Sow seeds indoors in late winter  or outdoors in seedbed in midspring. Move to garden when frost danger has passed. Make cuttings in spring. Maintenance and care: Plants are short-lived  but don't flower themselves to death as fast as large-flowered tickseed (C. grandiflora). To maintain hardiness and vigor  divide every 2 to 3 years. Deadhead daily to prolong blooming. Cut plants back in midsummer if their growth becomes straggly. This prevents excessive flowering  which can kill the plant. Cut plants back nearly to the ground in late summer or early fall to encourage healthy new foliar growth. Allow foliage to remain for the winter  then clean up the plants in the spring. More growing information: How to Grow Perennials Pests: Slugs and snailsAphidsFlea beetlesStriped and/or spotted cucumber beetlesPotato aphid Diseases: Powdery mildewBotrytis blightBacterial and fungal leaf spotsRoot and/or crown rotsDowny mildewAster yellows
