Name,Description,Sun,Soil,Water,,,,,,,,,,,,,,,,,,,,,,
Malva,Malva is part of the classification Malvaceae and is found growing in the wild with purple and pink blooms. One of the most popular types is malva sylvestris - which is also known as the common mallow.,Plant in full sun.,Needs well-drained soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Marigold,Marigolds have the scientific name tagetes. They are an easy to grow flower both indoors and outside that produces blooms in yellow/orange/white/gold. Marigold flowers are annuals.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Mazus,Mazus reptans (also known as creeping mazus) feature delicate purple/blue/white blooms with a single white-spotted petal. It is primarily used for groundcover and is a perennial.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Mirabilis,Mirabilis grow flowers in a variety of colors and last well into fall. The reason they are called four o’clocks is that they tend to open in the afternoon. The wildflower called Mirabilis multiflora is known as the Colorado four o’clock.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Moonflower,The moonflower is an interesting flower which only blooms at dusk and will close up at first light. It’s also known as a tropical white morning-glory. Moonflowers are fragrant annuals and are pollinated by insects that fly at night.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Morning Glory,Morning glories are the perfect flower to grow near fences as they grow on vine-like stalks. The name morning glory is actually just the common name for flowers in the family Convolvulaceae. They bloom in the summer and are known for their trumpet shape which is typically seen in blue or purple.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Nasturtium,Nasturtiums are easy to grow flowers that will last all season. They grow in a variety of yellows and oranges. They are annuals and are occasionally used in salads or sauces.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Nierembergia,Nierembergia (cupflower/purple robe) is great as an indoor plant or as edging on the border of a garden. It comes in a variety of colors and is low-growing.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Orchid,The orchid is commonly grown as a houseplant due to both its beauty and ease of growth. Orchids can grow to 3 feet tall and make a beautiful gift or addition to your home. ,Plant in full sun or partial shade.,It needs rocks instead of soil.,Blooms in early spring to early fall.,,,,,,,,,,,,,,,,,,,,,,
Osteospermum,Osteospermum (also known as African daisies) is a cool-season plant that comes in many bright colors. They are part of the daisy family.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Pansy,Pansies are perfect for both outdoor growing and as a household plant. They will usually last until the first few touches of frost when grown outside.,Plant in full sun to partial shade.,Needs well-drained soil.,Blooms in spring.,,,,,,,,,,,,,,,,,,,,,,
Pasque,The pasque (or pasqueflower) is the official flower of South Dakota. These are hardy plants that do well in cool climates. It’s a perennial flower that blooms in the spring.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early spring to early fall.,,,,,,,,,,,,,,,,,,,,,,
Pearly Everlasting,Pearly everlasting flowers are usually grown for the purpose of drying; these tiny white blooms are also beautiful in a garden. Its scientific name is Anaphalis margaritacea and it is part of the sunflower family.,Plant in full sun to partial shade.,Needs well-drained soil.,Blooms in mid-summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Pentas,Pentas flowers come in many different colors and are one of the top types of flowers for attracting butterflies. They are known for their blooms - which only produce four petals - and are part of the Rubiaceae flower.,Plant in full sun.,Needs well-drained soil.,Blooms in early spring.,,,,,,,,,,,,,,,,,,,,,,
Peony,Peonies produce large fragrant blooms. After a few years they will develop into large bushes. This type of flower (also known as paeony) come in white/pink/purple and is very fragrant.,Plant in full sun or partial shade.,Needs moist well-drained soil.,Blooms in mid-spring.,,,,,,,,,,,,,,,,,,,,,,
Perennial Flax,Perennial Flax (also known as Linum perenne) is a hard to grow bloom that does not last long. Once it blooms it will self-seed. The flax plant is native to Europe.,Plant in full sun.,Needs well-drained soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Periwinkle,Periwinkle is perfect as a ground cover. The flowers resemble blue stars with a yellow center.,Plant in full sun or partial shade.,Needs droughty.,Blooms in mid-spring to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Petunia,Petunia flowers feature sturdy easy to grow blooms that come in a variety of colors. They are annuals and grow from 6-12 inches on average.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Pincushion Flower,Pincushion flowers are interestingly shaped. Scabiosa is one of the season’s longest blooming flower and they grow in blue/purple/white/pink.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Polka Dot Plant,Polka dot plants (also known as Hypoestes phyllostachya) are a non-flowering plant. They are most frequently used as houseplants.,Plant in partial shade.,Needs well-drained soil.,Blooms in mid-summer.,,,,,,,,,,,,,,,,,,,,,,
Primrose,Primrose (or Primula vulgaris) is a classic garden flower. There are hundreds of different varieties available and they are edible.,Plant in partial shade.,Needs well-drained soil.,Blooms in spring.,,,,,,,,,,,,,,,,,,,,,,
Ranunculus,This flower comes in a variety of bright colors and is known for its close petals.,Plant in full sun.,Needs well-drained soil.,Blooms in early spring to mid-summer.,,,,,,,,,,,,,,,,,,,,,,
Red Valerian,An easy to grow bloom - you’ll find this colorful flower in blue/ white/pink/red.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Rhododendron,Rhododendrons make a beautiful flower for any yard. They will eventually grow into giant bushes which definitely make it a centerpiece.,Plant in partial shade.,Needs moist well-drained soil.,Blooms in early spring to late summer.,,,,,,,,,,,,,,,,,,,,,,
Rock Soapwort,An ornamental plant that comes in various shades of red and pink.,Plant in full sun.,Needs well-drained soil.,Blooms in early spring to late summer.,,,,,,,,,,,,,,,,,,,,,,
Rose,Over 100 species of rose exist along with almost any color a person can think of. Florists sell hundreds of thousands of roses every Valentine’s day - especially in red and pink.,Plant in full sun.,Needs well-drained soil.,Blooms in late spring to early fall.,,,,,,,,,,,,,,,,,,,,,,
Rue,Small blooms which can be easy to grow - gloves must be worn as the leaves can cause a rash.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Sanvitalia,Also known as a miniature Sunflower - this type of flower is easy to grow.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Scabiosa,This dainty little flower is known for its pincushion like appearance and is perfect for window boxes or as a ground covering for larger plants with shallow roots.,Plant in full sun.,Needs well-drained soil.,Blooms in early spring to late summer.,,,,,,,,,,,,,,,,,,,,,,
Scarlet Sage,Bright red blooms that are very common in gardens that need a pop of color.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Sea Holly,Although it has not been a traditional garden flower in the past - with its recent trending use in wedding bouquets - more people are seeking it out.,Plant in full sun,Needs well-drained soil.,Blooms in early spring to mid-summer.,,,,,,,,,,,,,,,,,,,,,,
Sea Lavender,Violet/blue/pink/white blooms grow in large clumps.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Sea Thrift,Perfect for dry areas with sandy soil. They come in red/white/pink/violet.,Plant in full sun.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Shirley Poppy,A hard to grow flower that has four unique petals.,Plant in full sun.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Shooting Star,One of the most unique garden flowers. The petals grow backward and have an interesting design in the middle.,Plant in partial shade to full shade.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Silvermound,Thin silvery leaves make a great backdrop for a colorful garden.,Plant in full sun to partial shade.,Needs well-drained soil.,Blooms in mid-summer.,,,,,,,,,,,,,,,,,,,,,,
Skunk Cabbage,A bloom with a smell that resembles the animal it is named after has a beautiful single bloom.,Plant in full sun or partial shade.,Needs damp soil.,Blooms in early spring to winter.,,,,,,,,,,,,,,,,,,,,,,
Snapdragon,Although this flower has a short lifespan the unique bloom makes it a popular garden choice.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Snow in Summer,A white flower that is easy to grow in hot areas with little water.,Plant in full sun.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Snowdrop,A bell-shaped bloom that is usually one of the first to appear in spring.,Plant in partial shade.,Needs well-drained soil.,Blooms in early spring.,,,,,,,,,,,,,,,,,,,,,,
Solomon’s Seal,An easy to grow plant that produces white and green blooms.,Plant in any sun or shade.,Needs well-drained soil.,Blooms in mid-spring to late spring.,,,,,,,,,,,,,,,,,,,,,,
Spring Snowflake,Grown both indoors and outdoors - the blooms are unique because of their yellow tips.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early spring.,,,,,,,,,,,,,,,,,,,,,,
Streptocarpus,Although the name might not be familiar - the flower certainly is. This is one of the most common houseplants as it is very easy to grow.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early spring to late summer.,,,,,,,,,,,,,,,,,,,,,,
Summer Savory,Commonly grown as an herb - it is an easy to grow plant that produces small flowers.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Sunflower,One of the most recognizable types of flowers that exist - sunflowers are known for being large and easy to grow.,Plant in full sun.,Needs well-drained soil.,Blooms in early summer to early fall.,,,,,,,,,,,,,,,,,,,,,,
Sweet Alyssum,Dainty white blooms which are commonly used in hanging baskets.,Plant in full sun or partial shade.,Needs damp soil.,Blooms in late spring to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Sweet Pea,Sweet pea flowers bloom in summer and fall. This beautiful type of flower comes in blue/pink/purple/red/white/yellow.,Plant in a sunny area.,Needs damp soil.,Blooms spring to fall,,,,,,,,,,,,,,,,,,,,,,
Sweet Woodruff,Tiny white flowers which grow quickly and spread easily.,Plant in partial shade to full shade.,Needs well-drained soil.,Blooms in late spring to mid-summer.,,,,,,,,,,,,,,,,,,,,,,
Tansy,Puff like blooms which are easy to care for and perfect for brightening up any garden.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Thunbergia,Thunbergia can grow partially as a shade plant but does better in full sun. It features bright blooms with a dark center.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Tithonia,A great bloom for people who have poor soil and lots of sun. These yellow flowers will attract butterflies and hummingbirds.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Torenia,A multicolor bloom that comes in a variety of colors and makes a perfect houseplant.,Plant in partial shade.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Trillium,A hard to grow rare flower that is usually found growing in the woods.,Plant in partial shade.,Needs well-drained soil.,Blooms in late spring.,,,,,,,,,,,,,,,,,,,,,,
Tulip,Great as a cut flower - they come in every color of the rainbow and can grow up to 20 inches tall.,Plant in full sun.,Needs well-drained soil.,Blooms in spring.,,,,,,,,,,,,,,,,,,,,,,
Verbena,Perfect for hanging baskets and window boxes - these purple and white blooms provide a cascading effect.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
Violet,A common house plant - they come in many colors and have a unique pattern design on their petals.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in early spring to early fall.,,,,,,,,,,,,,,,,,,,,,,
Virginia Bluebell,Virginia Bluebell is a commonly found wildflower. They are short-lived but worth growing because of their tubular bell-shaped blooms.,Plant in partial shade.,Needs damp soil.,Blooms in mid-spring to late spring.,,,,,,,,,,,,,,,,,,,,,,
Wild Senna,A tall bright yellow flower perfect for growing in hot areas with poor soil.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Windflower,An early-blooming flower that comes in shades of blue/violet/pink/white.,Plant full sun to partial shade.,Needs well-drained soil.,Blooms in early spring.,,,,,,,,,,,,,,,,,,,,,,
Wisteria,Recognized by its strong scent - you’ll want to plant this type of flower near a fence as it has long vine-like flowers that will grow upwards.,Plant in full sun or partial shade.,Needs well-drained soil.,Blooms in mid-spring to mid-summer.,,,,,,,,,,,,,,,,,,,,,,
Yarrow (Queen Anne’s Lace),Tiny blooms which are commonly grown for use in bouquets as a dried flower.,Plant in full sun.,Needs well-drained soil.,Blooms in summer.,,,,,,,,,,,,,,,,,,,,,,
Yellow Archangel,A leafy plant with little yellow blooms - which is perfect for gardens with little direct sunlight.,Plant in partial shade or full shade.,Needs well-drained soil.,Blooms in late spring to early summer.,,,,,,,,,,,,,,,,,,,,,,
Yellow Loosestrife,Tall stalks of yellow blooms that thrive in moist areas.,Plant in full sun or partial shade.,Needs damp soil.,Blooms in mid-summer to late summer.,,,,,,,,,,,,,,,,,,,,,,
Zinnia,Zinnia flowers bring large blooms in vibrant colors that attract butterflies/bees/hummingbirds. They are annuals and bloom from late spring until early fall.,Plant in full sun.,Needs well-drained soil.,Blooms in mid-summer to mid-fall.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
